 (6581)
the (1051)
to (641)
covid (594)
of (544)
19 (525)
in (443)
and (438)
a (431)
s (319)
for (307)
is (268)
#covid19 (251)
on (218)
that (199)
it (199)
you (174)
i (162)
are (161)
from (148)
this (148)
coronavirus (145)
people (134)
have (131)
with (125)
as (125)
new (123)
not (118)
vaccine (115)
cases (111)
at (109)
t (108)
omicron (108)
be (102)
more (99)
they (96)
by (86)
get (85)
has (85)
amp (85)
about (83)
who (80)
variant (78)
or (77)
vaccinated (77)
we (77)
2021 (75)
what (73)
all (72)
if (67)
will (67)
can (66)
do (63)
deaths (63)
health (63)
their (62)
so (61)
our (61)
2 (60)
now (59)
your (58)
was (56)
covid19 (56)
#omicron (56)
pandemic (54)
been (53)
news (52)
india (52)
#coronavirus (51)
how (50)
but (50)
